"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2012Q3","5 - 14 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","5 - 14 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","15 - 24 years","Total deaths (A00-Y89)","Number","82"
"Deaths Registered","2012Q3","15 - 24 years","Infectious and parasitic diseases (A00-B99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Neoplasms (C00-D48)","Number","11"
"Deaths Registered","2012Q3","15 - 24 years","Malignant neoplasms (C00-C97)","Number","10"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","1"
"Deaths Registered","2012Q3","15 - 24 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","4"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the Circulatory System (I00-I99)","Number","5"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the Respiratory system (J00-J99)","Number","1"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the Digestive system (K00-K93)","Number","1"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","2"
"Deaths Registered","2012Q3","15 - 24 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","0"
"Deaths Registered","2012Q3","15 - 24 years","External causes of injury and poisoning (V01-Y89)","Number","57"
"Deaths Registered","2012Q3","15 - 24 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","15 - 24 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","15 - 24 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","25 - 34 years","Total deaths (A00-Y89)","Number","104"
"Deaths Registered","2012Q3","25 - 34 years","Infectious and parasitic diseases (A00-B99)","Number","3"
"Deaths Registered","2012Q3","25 - 34 years","Neoplasms (C00-D48)","Number","11"
"Deaths Registered","2012Q3","25 - 34 years","Malignant neoplasms (C00-C97)","Number","11"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","2"
"Deaths Registered","2012Q3","25 - 34 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","4"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the Circulatory System (I00-I99)","Number","16"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the Respiratory system (J00-J99)","Number","2"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the Digestive system (K00-K93)","Number","5"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","Diseases of the genitourinary system (N00-N99)","Number","1"
"Deaths Registered","2012Q3","25 - 34 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","1"
"Deaths Registered","2012Q3","25 - 34 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","0"
"Deaths Registered","2012Q3","25 - 34 years","External causes of injury and poisoning (V01-Y89)","Number","59"
"Deaths Registered","2012Q3","25 - 34 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","25 - 34 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","25 - 34 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","35 - 44 years","Total deaths (A00-Y89)","Number","185"
"Deaths Registered","2012Q3","35 - 44 years","Infectious and parasitic diseases (A00-B99)","Number","6"
"Deaths Registered","2012Q3","35 - 44 years","Neoplasms (C00-D48)","Number","60"
"Deaths Registered","2012Q3","35 - 44 years","Malignant neoplasms (C00-C97)","Number","57"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","1"
"Deaths Registered","2012Q3","35 - 44 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","1"
"Deaths Registered","2012Q3","35 - 44 years","Mental and behavioural disorders (F00-F99)","Number","1"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","5"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the Circulatory System (I00-I99)","Number","22"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the Respiratory system (J00-J99)","Number","3"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the Digestive system (K00-K93)","Number","25"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","1"
"Deaths Registered","2012Q3","35 - 44 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2012Q3","35 - 44 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","35 - 44 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","35 - 44 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","2"
"Deaths Registered","2012Q3","35 - 44 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2012Q3","35 - 44 years","External causes of injury and poisoning (V01-Y89)","Number","57"
"Deaths Registered","2012Q3","35 - 44 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","35 - 44 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","35 - 44 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","45 - 54 years","Total deaths (A00-Y89)","Number","390"
"Deaths Registered","2012Q3","45 - 54 years","Infectious and parasitic diseases (A00-B99)","Number","11"
"Deaths Registered","2012Q3","45 - 54 years","Neoplasms (C00-D48)","Number","156"
"Deaths Registered","2012Q3","45 - 54 years","Malignant neoplasms (C00-C97)","Number","156"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","2"
"Deaths Registered","2012Q3","45 - 54 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","4"
"Deaths Registered","2012Q3","45 - 54 years","Mental and behavioural disorders (F00-F99)","Number","2"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","15"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the Circulatory System (I00-I99)","Number","84"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the Respiratory system (J00-J99)","Number","13"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the Digestive system (K00-K93)","Number","37"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","1"
"Deaths Registered","2012Q3","45 - 54 years","Diseases of the genitourinary system (N00-N99)","Number","2"
"Deaths Registered","2012Q3","45 - 54 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","45 - 54 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","45 - 54 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","1"
"Deaths Registered","2012Q3","45 - 54 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2012Q3","45 - 54 years","External causes of injury and poisoning (V01-Y89)","Number","61"
"Deaths Registered","2012Q3","45 - 54 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","45 - 54 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","45 - 54 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","55 - 64 years","Total deaths (A00-Y89)","Number","706"
"Deaths Registered","2012Q3","55 - 64 years","Infectious and parasitic diseases (A00-B99)","Number","2"
"Deaths Registered","2012Q3","55 - 64 years","Neoplasms (C00-D48)","Number","339"
"Deaths Registered","2012Q3","55 - 64 years","Malignant neoplasms (C00-C97)","Number","335"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2012Q3","55 - 64 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","14"
"Deaths Registered","2012Q3","55 - 64 years","Mental and behavioural disorders (F00-F99)","Number","1"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","23"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the Circulatory System (I00-I99)","Number","192"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the Respiratory system (J00-J99)","Number","35"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the Digestive system (K00-K93)","Number","39"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","3"
"Deaths Registered","2012Q3","55 - 64 years","Diseases of the genitourinary system (N00-N99)","Number","2"
"Deaths Registered","2012Q3","55 - 64 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","55 - 64 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","55 - 64 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","3"
"Deaths Registered","2012Q3","55 - 64 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2012Q3","55 - 64 years","External causes of injury and poisoning (V01-Y89)","Number","52"
"Deaths Registered","2012Q3","55 - 64 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","55 - 64 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","55 - 64 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1203"
"Deaths Registered","2012Q3","65 - 74 years","Infectious and parasitic diseases (A00-B99)","Number","13"
"Deaths Registered","2012Q3","65 - 74 years","Neoplasms (C00-D48)","Number","556"
"Deaths Registered","2012Q3","65 - 74 years","Malignant neoplasms (C00-C97)","Number","546"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","3"
"Deaths Registered","2012Q3","65 - 74 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","28"
"Deaths Registered","2012Q3","65 - 74 years","Mental and behavioural disorders (F00-F99)","Number","13"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","34"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the Circulatory System (I00-I99)","Number","349"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the Respiratory system (J00-J99)","Number","107"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the Digestive system (K00-K93)","Number","35"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","1"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","5"
"Deaths Registered","2012Q3","65 - 74 years","Diseases of the genitourinary system (N00-N99)","Number","13"
"Deaths Registered","2012Q3","65 - 74 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","65 - 74 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","65 - 74 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","4"
"Deaths Registered","2012Q3","65 - 74 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","4"
"Deaths Registered","2012Q3","65 - 74 years","External causes of injury and poisoning (V01-Y89)","Number","38"
"Deaths Registered","2012Q3","65 - 74 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","65 - 74 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","65 - 74 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","75 - 84 years","Total deaths (A00-Y89)","Number","1924"
"Deaths Registered","2012Q3","75 - 84 years","Infectious and parasitic diseases (A00-B99)","Number","11"
"Deaths Registered","2012Q3","75 - 84 years","Neoplasms (C00-D48)","Number","668"
"Deaths Registered","2012Q3","75 - 84 years","Malignant neoplasms (C00-C97)","Number","648"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","6"
"Deaths Registered","2012Q3","75 - 84 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","55"
"Deaths Registered","2012Q3","75 - 84 years","Mental and behavioural disorders (F00-F99)","Number","54"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","89"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the Circulatory System (I00-I99)","Number","635"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the Respiratory system (J00-J99)","Number","224"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the Digestive system (K00-K93)","Number","73"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","2"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","18"
"Deaths Registered","2012Q3","75 - 84 years","Diseases of the genitourinary system (N00-N99)","Number","54"
"Deaths Registered","2012Q3","75 - 84 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","75 - 84 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","75 - 84 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","1"
"Deaths Registered","2012Q3","75 - 84 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","2"
"Deaths Registered","2012Q3","75 - 84 years","External causes of injury and poisoning (V01-Y89)","Number","32"
"Deaths Registered","2012Q3","75 - 84 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","75 - 84 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","75 - 84 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","85 years and over","Total deaths (A00-Y89)","Number","2130"
"Deaths Registered","2012Q3","85 years and over","Infectious and parasitic diseases (A00-B99)","Number","11"
"Deaths Registered","2012Q3","85 years and over","Neoplasms (C00-D48)","Number","374"
"Deaths Registered","2012Q3","85 years and over","Malignant neoplasms (C00-C97)","Number","352"
"Deaths Registered","2012Q3","85 years and over","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","5"
"Deaths Registered","2012Q3","85 years and over","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","63"
"Deaths Registered","2012Q3","85 years and over","Mental and behavioural disorders (F00-F99)","Number","123"
"Deaths Registered","2012Q3","85 years and over","Diseases of the nervous system and the sense organs (G00-H95)","Number","102"
"Deaths Registered","2012Q3","85 years and over","Diseases of the Circulatory System (I00-I99)","Number","900"
"Deaths Registered","2012Q3","85 years and over","Diseases of the Respiratory system (J00-J99)","Number","334"
"Deaths Registered","2012Q3","85 years and over","Diseases of the Digestive system (K00-K93)","Number","71"
"Deaths Registered","2012Q3","85 years and over","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","3"
"Deaths Registered","2012Q3","85 years and over","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","14"
"Deaths Registered","2012Q3","85 years and over","Diseases of the genitourinary system (N00-N99)","Number","81"
"Deaths Registered","2012Q3","85 years and over","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","85 years and over","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q3","85 years and over","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","1"
"Deaths Registered","2012Q3","85 years and over","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","6"
"Deaths Registered","2012Q3","85 years and over","External causes of injury and poisoning (V01-Y89)","Number","42"
"Deaths Registered","2012Q3","85 years and over","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","85 years and over","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","85 years and over","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q3","All ages","Total deaths (A00-Y89)","Number","6825"
"Deaths Registered","2012Q3","All ages","Infectious and parasitic diseases (A00-B99)","Number","61"
"Deaths Registered","2012Q3","All ages","Neoplasms (C00-D48)","Number","2181"
"Deaths Registered","2012Q3","All ages","Malignant neoplasms (C00-C97)","Number","2120"
"Deaths Registered","2012Q3","All ages","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","17"
"Deaths Registered","2012Q3","All ages","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","171"
"Deaths Registered","2012Q3","All ages","Mental and behavioural disorders (F00-F99)","Number","194"
"Deaths Registered","2012Q3","All ages","Diseases of the nervous system and the sense organs (G00-H95)","Number","281"
"Deaths Registered","2012Q3","All ages","Diseases of the Circulatory System (I00-I99)","Number","2204"
"Deaths Registered","2012Q3","All ages","Diseases of the Respiratory system (J00-J99)","Number","719"
"Deaths Registered","2012Q3","All ages","Diseases of the Digestive system (K00-K93)","Number","286"
"Deaths Registered","2012Q3","All ages","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","6"
"Deaths Registered","2012Q3","All ages","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","42"
"Deaths Registered","2012Q3","All ages","Diseases of the genitourinary system (N00-N99)","Number","153"
"Deaths Registered","2012Q3","All ages","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q3","All ages","Certain conditions originating in the perinatal period (P00-P96)","Number","40"
"Deaths Registered","2012Q3","All ages","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","48"
"Deaths Registered","2012Q3","All ages","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","20"
"Deaths Registered","2012Q3","All ages","External causes of injury and poisoning (V01-Y89)","Number","402"
"Deaths Registered","2012Q3","All ages","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q3","All ages","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q3","All ages","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q4","Under 1 year","Total deaths (A00-Y89)","Number","63"
"Deaths Registered","2012Q4","Under 1 year","Infectious and parasitic diseases (A00-B99)","Number","2"
"Deaths Registered","2012Q4","Under 1 year","Neoplasms (C00-D48)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Malignant neoplasms (C00-C97)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the nervous system and the sense organs (G00-H95)","Number","1"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the Circulatory System (I00-I99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the Respiratory system (J00-J99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the Digestive system (K00-K93)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","Certain conditions originating in the perinatal period (P00-P96)","Number","30"
"Deaths Registered","2012Q4","Under 1 year","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","24"
"Deaths Registered","2012Q4","Under 1 year","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","6"
"Deaths Registered","2012Q4","Under 1 year","External causes of injury and poisoning (V01-Y89)","Number","0"
"Deaths Registered","2012Q4","Under 1 year","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q4","Under 1 year","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q4","Under 1 year","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q4","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2012Q4","1 - 4 years","Infectious and parasitic diseases (A00-B99)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","Neoplasms (C00-D48)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","Malignant neoplasms (C00-C97)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","2"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the Circulatory System (I00-I99)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the Respiratory system (J00-J99)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the Digestive system (K00-K93)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q4","1 - 4 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","External causes of injury and poisoning (V01-Y89)","Number","1"
"Deaths Registered","2012Q4","1 - 4 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q4","1 - 4 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q4","1 - 4 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q4","5 - 14 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2012Q4","5 - 14 years","Infectious and parasitic diseases (A00-B99)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Neoplasms (C00-D48)","Number","3"
"Deaths Registered","2012Q4","5 - 14 years","Malignant neoplasms (C00-C97)","Number","3"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","1"
"Deaths Registered","2012Q4","5 - 14 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","2"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the Circulatory System (I00-I99)","Number","1"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the Respiratory system (J00-J99)","Number","1"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the Digestive system (K00-K93)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2012Q4","5 - 14 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","3"
"Deaths Registered","2012Q4","5 - 14 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2012Q4","5 - 14 years","External causes of injury and poisoning (V01-Y89)","Number","4"
"Deaths Registered","2012Q4","5 - 14 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2012Q4","5 - 14 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2012Q4","5 - 14 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2012Q4","15 - 24 years","Total deaths (A00-Y89)","Number","56"
"Deaths Registered","2012Q4","15 - 24 years","Infectious and parasitic diseases (A00-B99)","Number","0"
"Deaths Registered","2012Q4","15 - 24 years","Neoplasms (C00-D48)","Number","7"
"Deaths Registered","2012Q4","15 - 24 years","Malignant neoplasms (C00-C97)","Number","7"
